Company,Rating,Review
Tata Consultancy Services,3.9,104
Accenture,4.1,122
Deloitte,4.0,81
Amazon,4.2,132
HCL Technologies,3.7,34
EY,3.9,59
IBM,4.1,90
Wipro,3.8,46
Infosys,3.9,81
Cognizant Technology Solutions,3.9,77
KPMG,3.8,46
Capgemini,4.0,57
PwC,3.9,59
Tech Mahindra,3.6,27
Genpact,4.0,16
Google,4.5,34
Ericsson-Worldwide,4.2,16
American Express,4.3,14
Oracle,3.9,42
Concentrix,3.9,21
Microsoft,4.4,41
Teleperformance,4.0,31
Dell Technologies,4.3,28
Publicis Sapient,3.9,7
DXC Technology,3.5,20
Capgemini Engineering,3.7,10
Bank of America,4.0,34
BYJU'S,3.7,13
Adobe,4.4,7
UnitedHealth Group,3.6,15
NatWest Group,3.9,7
ZS Associates,3.9,5
Barclays,4.0,15
Samsung Electronics,3.8,12
ABC,3.9,11
Nokia,4.1,16
NTT DATA,3.9,10
EXL Service,3.7,4
Siemens,4.1,17
GlobalLogic,4.0,5
Coforge,4.1,4
ICICI Bank,3.7,9
Nagarro,4.2,3
Citi,3.9,27
SAP,4.4,25
Sopra Steria,3.7,5
FIS,3.8,8
Amdocs,3.9,9
BT,4.1,7
OYO,3.6,4
Walmart,3.3,99
CSC,3.8,6
Honeywell,3.9,16
Freelancer,4.2,11
Fiserv,3.7,7
Expedia Group,4.1,5
Paytm,3.7,3
McDonald's,3.5,93
Bharti Airtel,4.2,4
HSBC,3.8,23
Aon,3.9,6
Evalueserve,4.0,2
HDFC Bank,3.6,6
Mercer,3.9,5
McKinsey & Company,4.4,7
Gartner,4.0,5
Uber,4.3,21
Cisco Systems,4.4,28
Boston Consulting Group,4.1,6
IHS Markit,4.1,4
Bain & Company,4.5,5
Tata Consultancy Services (North America),3.8,7
WNS,3.5,4
GE,4.0,16
BlackRock,4.1,4
S&P Global,4.2,5
Optum,3.7,5
HCL,3.6,4
Birlasoft,3.6,2
Larsen & Toubro,3.7,6
J.P. Morgan,4.0,29
Apple,4.2,32
MetLife,4.0,5
UKG (Ultimate Kronos Group),4.1,4
Conduent,3.1,7
LTI,3.8,10
Nestlé,4.1,11
First Student,4.0,3
Qualcomm,4.1,8
PepsiCo,3.9,16
Axis Bank,3.9,5
CBRE,4.0,8
Orange,4.1,6
IQVIA,3.9,10
JLL,4.0,7
Fidelity Investments,4.2,12
Stryker,4.2,5
